source,target
accepts,negotiator
domhandler,domelementtype
define-properties,define-data-property
define-properties,has-property-descriptors
define-properties,object-keys
@eslint-community/eslint-utils,eslint-visitor-keys
content-disposition,safe-buffer
type-is,content-type
type-is,media-typer
type-is,mime-types
define-data-property,es-define-property
define-data-property,es-errors
define-data-property,gopd
es-abstract,array-buffer-byte-length
es-abstract,arraybuffer.prototype.slice
es-abstract,available-typed-arrays
es-abstract,call-bind
es-abstract,call-bound
es-abstract,data-view-buffer
es-abstract,data-view-byte-length
es-abstract,data-view-byte-offset
es-abstract,es-define-property
es-abstract,es-errors
es-abstract,es-object-atoms
es-abstract,es-set-tostringtag
es-abstract,es-to-primitive
es-abstract,function.prototype.name
es-abstract,get-intrinsic
es-abstract,get-proto
es-abstract,get-symbol-description
es-abstract,globalthis
es-abstract,gopd
es-abstract,has-property-descriptors
es-abstract,has-proto
es-abstract,has-symbols
es-abstract,hasown
es-abstract,internal-slot
es-abstract,is-array-buffer
es-abstract,is-callable
es-abstract,is-data-view
es-abstract,is-negative-zero
es-abstract,is-regex
es-abstract,is-set
es-abstract,is-shared-array-buffer
es-abstract,is-string
es-abstract,is-typed-array
es-abstract,is-weakref
es-abstract,math-intrinsics
es-abstract,object-inspect
es-abstract,object-keys
es-abstract,object.assign
es-abstract,own-keys
es-abstract,regexp.prototype.flags
es-abstract,safe-array-concat
es-abstract,safe-push-apply
es-abstract,safe-regex-test
es-abstract,set-proto
es-abstract,stop-iteration-iterator
es-abstract,string.prototype.trim
es-abstract,string.prototype.trimend
es-abstract,string.prototype.trimstart
es-abstract,typed-array-buffer
es-abstract,typed-array-byte-length
es-abstract,typed-array-byte-offset
es-abstract,typed-array-length
es-abstract,unbox-primitive
es-abstract,which-typed-array
log-symbols,yoctocolors
log-symbols,is-unicode-supported
dom-serializer,domelementtype
dom-serializer,domhandler
dom-serializer,entities
pump,end-of-stream
pump,once
tar,@isaacs/fs-minipass
tar,chownr
tar,minipass
tar,minizlib
tar,yallist
body-parser,qs
body-parser,bytes
body-parser,debug
body-parser,type-is
body-parser,raw-body
body-parser,iconv-lite
body-parser,http-errors
body-parser,on-finished
body-parser,content-type
object.assign,call-bind
object.assign,call-bound
object.assign,define-properties
object.assign,es-object-atoms
object.assign,has-symbols
object.assign,object-keys
side-channel,es-errors
side-channel,object-inspect
side-channel,side-channel-list
side-channel,side-channel-map
side-channel,side-channel-weakmap
is-typed-array,which-typed-array
for-each,is-callable
end-of-stream,once
available-typed-arrays,possible-typed-array-names
normalize-package-data,hosted-git-info
normalize-package-data,semver
normalize-package-data,validate-npm-package-license
express,qs
express,etag
express,once
express,send
express,vary
express,debug
express,fresh
express,cookie
express,router
express,accepts
express,type-is
express,parseurl
express,statuses
express,encodeurl
express,mime-types
express,proxy-addr
express,body-parser
express,escape-html
express,http-errors
express,on-finished
express,content-type
express,finalhandler
express,range-parser
express,serve-static
express,cookie-signature
express,merge-descriptors
express,content-disposition
rollup,@types/estree
is-extendable,is-plain-object
set-function-length,define-data-property
set-function-length,es-errors
set-function-length,function-bind
set-function-length,get-intrinsic
set-function-length,gopd
set-function-length,has-property-descriptors
tsconfig-paths,json5
tsconfig-paths,minimist
tsconfig-paths,strip-bom
side-channel-map,call-bound
side-channel-map,es-errors
side-channel-map,get-intrinsic
side-channel-map,object-inspect
is-date-object,call-bound
is-date-object,has-tostringtag
side-channel-weakmap,call-bound
side-channel-weakmap,es-errors
side-channel-weakmap,get-intrinsic
side-channel-weakmap,object-inspect
side-channel-weakmap,side-channel-map
side-channel-list,es-errors
side-channel-list,object-inspect
jest-matcher-utils,@jest/get-type
jest-matcher-utils,chalk
jest-matcher-utils,jest-diff
jest-matcher-utils,pretty-format
safe-regex-test,call-bound
safe-regex-test,es-errors
safe-regex-test,is-regex
is-symbol,call-bound
is-symbol,has-symbols
is-symbol,safe-regex-test
enhanced-resolve,graceful-fs
enhanced-resolve,tapable
@smithy/property-provider,@smithy/types
@smithy/property-provider,tslib
@babel/helper-annotate-as-pure,@babel/types
minizlib,minipass
figures,is-unicode-supported
regexp.prototype.flags,call-bind
regexp.prototype.flags,define-properties
regexp.prototype.flags,es-errors
regexp.prototype.flags,get-proto
regexp.prototype.flags,gopd
regexp.prototype.flags,set-function-name
jest-mock,@jest/types
jest-mock,@types/node
jest-mock,jest-util
@types/react,csstype
@typescript-eslint/utils,@eslint-community/eslint-utils
@typescript-eslint/utils,@typescript-eslint/scope-manager
@typescript-eslint/utils,@typescript-eslint/types
@typescript-eslint/utils,@typescript-eslint/typescript-estree
@isaacs/cliui,string-width
@isaacs/cliui,string-width-cjs
@isaacs/cliui,strip-ansi
@isaacs/cliui,strip-ansi-cjs
@isaacs/cliui,wrap-ansi
@isaacs/cliui,wrap-ansi-cjs
internal-slot,es-errors
internal-slot,hasown
internal-slot,side-channel
htmlparser2,domelementtype
htmlparser2,domhandler
htmlparser2,domutils
htmlparser2,entities
is-shared-array-buffer,call-bound
is-string,call-bound
is-string,has-tostringtag
is-boolean-object,call-bound
is-boolean-object,has-tostringtag
@sinonjs/fake-timers,@sinonjs/commons
es-to-primitive,is-callable
es-to-primitive,is-date-object
es-to-primitive,is-symbol
is-number-object,call-bound
is-number-object,has-tostringtag
string.prototype.trimend,call-bind
string.prototype.trimend,call-bound
string.prototype.trimend,define-properties
string.prototype.trimend,es-object-atoms
bl,@types/readable-stream
bl,buffer
bl,inherits
bl,readable-stream
css-tree,mdn-data
css-tree,source-map-js
has-proto,dunder-proto
expect,@jest/expect-utils
expect,@jest/get-type
expect,jest-matcher-utils
expect,jest-message-util
expect,jest-mock
expect,jest-util
fast-xml-parser,strnum
string.prototype.trimstart,call-bind
string.prototype.trimstart,define-properties
string.prototype.trimstart,es-object-atoms
istanbul-lib-source-maps,@jridgewell/trace-mapping
istanbul-lib-source-maps,debug
istanbul-lib-source-maps,istanbul-lib-coverage
@babel/plugin-syntax-jsx,@babel/helper-plugin-utils
test-exclude,@istanbuljs/schema
test-exclude,glob
test-exclude,minimatch
jest-haste-map,@jest/types
jest-haste-map,@types/node
jest-haste-map,anymatch
jest-haste-map,fb-watchman
jest-haste-map,graceful-fs
jest-haste-map,jest-regex-util
jest-haste-map,jest-util
jest-haste-map,jest-worker
jest-haste-map,micromatch
jest-haste-map,walker
@smithy/protocol-http,@smithy/types
@smithy/protocol-http,tslib
unbox-primitive,call-bound
unbox-primitive,has-bigints
unbox-primitive,has-symbols
unbox-primitive,which-boxed-primitive
function.prototype.name,call-bind
function.prototype.name,call-bound
function.prototype.name,define-properties
function.prototype.name,functions-have-names
function.prototype.name,hasown
function.prototype.name,is-callable
is-generator-function,call-bound
is-generator-function,generator-function
is-generator-function,get-proto
is-generator-function,has-tostringtag
is-generator-function,safe-regex-test
terser,@jridgewell/source-map
terser,acorn
terser,commander
terser,source-map-support
css-select,boolbase
css-select,css-what
css-select,domhandler
css-select,domutils
css-select,nth-check
is-weakref,call-bound
read-pkg,@types/normalize-package-data
read-pkg,normalize-package-data
read-pkg,parse-json
read-pkg,type-fest
read-pkg,unicorn-magic
which-boxed-primitive,is-bigint
which-boxed-primitive,is-boolean-object
which-boxed-primitive,is-number-object
which-boxed-primitive,is-string
which-boxed-primitive,is-symbol
@types/babel__traverse,@babel/types
istanbul-reports,html-escaper
istanbul-reports,istanbul-lib-report
fs-minipass,minipass
is-array-buffer,call-bind
is-array-buffer,call-bound
is-array-buffer,get-intrinsic
dir-glob,path-type
ora,chalk
ora,cli-cursor
ora,strip-ansi
ora,log-symbols
ora,cli-spinners
ora,string-width
ora,is-interactive
