package,risk_score,in_degree,out_degree,betweenness,is_topN
@smithy/uuid,0.016129,2,0,0.000000,False
range-parser,0.016129,2,0,0.000000,True
fdir,0.016129,2,0,0.000000,True
natural-compare,0.016129,2,0,0.000000,True
jsesc,0.016129,2,0,0.000000,True
webidl-conversions,0.016129,2,0,0.000000,True
path-type,0.016129,2,0,0.000000,True
buffer-from,0.016129,2,0,0.000000,True
bytes,0.016129,2,0,0.000000,True
source-map-js,0.016129,2,0,0.000000,True
@webassemblyjs/helper-api-error,0.016129,2,0,0.000000,True
path-key,0.016129,2,0,0.000000,True
react-is,0.016129,2,0,0.000000,True
boolbase,0.016129,2,0,0.000000,True
is-stream,0.016129,2,0,0.000000,True
spdx-license-ids,0.016129,2,0,0.000000,True
whatwg-mimetype,0.016129,2,0,0.000000,True
is-inside-container,0.016129,2,0,0.000000,False
yoctocolors,0.016129,2,0,0.000000,False
@opentelemetry/semantic-conventions,0.016129,2,0,0.000000,True
@sindresorhus/merge-streams,0.016129,2,0,0.000000,False
is-set,0.016129,2,0,0.000000,True
fresh,0.016129,2,0,0.000000,True
minipass-pipeline,0.016129,2,0,0.000000,False
universalify,0.016129,2,0,0.000000,True
wrappy,0.016129,2,0,0.000000,True
escalade,0.016129,2,0,0.000000,True
find-up-simple,0.016129,2,0,0.000000,False
strip-json-comments,0.016129,2,0,0.000000,True
callsites,0.016129,2,0,0.000000,True
functions-have-names,0.016129,2,0,0.000000,True
negotiator,0.016129,2,0,0.000000,True
glob-to-regexp,0.016129,2,0,0.000000,True
get-east-asian-width,0.016129,2,0,0.000000,False
source-map,0.016129,2,0,0.000000,True
has-bigints,0.016129,2,0,0.000000,True
xml-name-validator,0.016129,2,0,0.000000,True
@babel/helper-validator-option,0.016129,2,0,0.000000,True
camelcase,0.016129,2,0,0.000000,True
@babel/helper-globals,0.016129,2,0,0.000000,True
possible-typed-array-names,0.016129,2,0,0.000000,True
strip-bom,0.016129,2,0,0.000000,True
minipass-flush,0.016129,2,0,0.000000,False
package-json-from-dist,0.016129,2,0,0.000000,True
events,0.016129,2,0,0.000000,True
color-name,0.016129,2,0,0.000000,True
@floating-ui/utils,0.016129,2,0,0.000000,False
@webassemblyjs/utf8,0.016129,2,0,0.000000,True
npm-run-path,0.015944,1,2,0.000006,True
@jridgewell/source-map,0.015550,1,2,0.000005,True
get-stream,0.015255,1,2,0.000004,True
jws,0.014960,1,2,0.000003,True
css-tree,0.014960,1,2,0.000003,True
istanbul-reports,0.014960,1,2,0.000003,True
@babel/plugin-transform-named-capturing-groups-regex,0.014763,1,2,0.000003,True
@babel/plugin-transform-unicode-regex,0.014763,1,2,0.000003,True
is-boolean-object,0.014758,1,2,0.000003,True
is-number-object,0.014758,1,2,0.000003,True
pump,0.014665,1,2,0.000002,True
babel-plugin-polyfill-corejs3,0.014650,1,2,0.000002,True
@babel/plugin-transform-destructuring,0.014599,1,2,0.000002,True
jest-leak-detector,0.014517,1,2,0.000002,True
@sinonjs/commons,0.014464,1,1,0.000009,True
is-arguments,0.014420,1,2,0.000002,True
cli-truncate,0.014369,1,2,0.000002,True
proxy-addr,0.014369,1,2,0.000002,True
spdx-correct,0.014369,1,2,0.000002,True
socks,0.014369,1,2,0.000002,True
@babel/plugin-transform-computed-properties,0.014293,1,2,0.000001,True
@typescript-eslint/parser,0.014286,0,5,0.000000,True
tar,0.014286,0,5,0.000000,True
util,0.014286,0,5,0.000000,True
css-select,0.014286,0,5,0.000000,True
@types/body-parser,0.014271,1,2,0.000001,True
http-proxy-agent,0.014222,1,2,0.000001,True
